Player Name,Attempt,Attempt,Attempt,Attempt,Attempt
Jeff,1B+,2B*+,O,O
Nick,1B***+,1B+,1B,O
Mike,1B+,1B+,1B,2B**+,O
Jason,1B,1B,2B*+,HR****+,O
Paul,1B*+,1B+,1B+,O
Jack,1B+,2B*+,O,O
Morgan,1B**+,1B,1B,O
Matt,1B*+,1B,1B,O
Blake,1B,2B**+,O,O,O
Cory,1B*+,O,O
Logan,1B*+,1B,O
Jakob,1B+,BB,O
