Player Name,Attempt,Attempt,Attempt,Attempt,Attempt,Attempt,Attempt
Josh,1B+,1B,HR*+,O,O,O,O
Nick,1B*+,3B*+,3B*+,HRO,1B
Mike,1B+,1B+,1B+,1B+,O+
Jason,1B,2B+,3B***+,F8*,O
Paul,1B***+,1B*+,O
Jack,1B**+,1B+,BB,O,O
Cory,1B*,O,O
Blake,1B**+,1B+,O
Morgan,1B**,1B,O,O
Logan,1B*+,O,O,O
Jakob,1B,BB,BB,BB,O
Anthony,1B*+,1B+,O,O
