Player Name,Attempt,Attempt,Attempt,Attempt,Attempt,Attempt,Attempt
Anthony,2B+,3B+,1B,2B**+
Alex,1B+,2B*+,6-5,1B
Baxter,F8*,2B+,5,5+
Bryce,1B+,1B*+,2B+,2B*
Cory,2B*+,HR***+,HR**+
Paul,2B**+,1B,1B+
Stephen,HR**+,6-4,1B*+
Kyla,1B*,1B*+,2B*+,1B,L5,1B*
Chance,1-4+,F1,K,1-5,1B+,BB
